title,genres,one_star,two_star,three_star,four_star,five_star,rating
Prodigiously Amazing Weaponsmith,Adventure,55,36,24,27,122,3.5
Prodigiously Amazing Weaponsmith,Gender Bender,55,36,24,27,122,3.5
Prodigiously Amazing Weaponsmith,Action,55,36,24,27,122,3.5
Prodigiously Amazing Weaponsmith,Romance,55,36,24,27,122,3.5
Salted Fish Doesn’t Want to Inherit Hundred of Billion Property,Comedy,1,1,1,2,11,4.3
Salted Fish Doesn’t Want to Inherit Hundred of Billion Property,Shounen Ai,1,1,1,2,11,4.3
Salted Fish Doesn’t Want to Inherit Hundred of Billion Property,Slice of Life,1,1,1,2,11,4.3
Salted Fish Doesn’t Want to Inherit Hundred of Billion Property,Fantasy,1,1,1,2,11,4.3
Salted Fish Doesn’t Want to Inherit Hundred of Billion Property,Romance,1,1,1,2,11,4.3
I Cultivate Passively,Action,6,5,3,6,11,3.4
I Cultivate Passively,Adult,6,5,3,6,11,3.4
I Cultivate Passively,Adventure,6,5,3,6,11,3.4
I Cultivate Passively,Fantasy,6,5,3,6,11,3.4
I Cultivate Passively,Mature,6,5,3,6,11,3.4
I Cultivate Passively,Xuanhuan,6,5,3,6,11,3.4
Long Live The Hokage,Drama,44,9,21,22,211,4.1
Long Live The Hokage,Adventure,44,9,21,22,211,4.1
Long Live The Hokage,Comedy,44,9,21,22,211,4.1
Long Live The Hokage,Action,44,9,21,22,211,4.1
Long Live The Hokage,Martial Arts,44,9,21,22,211,4.1
Long Live The Hokage,Fantasy,44,9,21,22,211,4.1
Ancient Godly Monarch,Xuanhuan,167,66,117,126,332,3.5
Ancient Godly Monarch,Harem,167,66,117,126,332,3.5
Ancient Godly Monarch,Drama,167,66,117,126,332,3.5
Ancient Godly Monarch,Adventure,167,66,117,126,332,3.5
Ancient Godly Monarch,Action,167,66,117,126,332,3.5
Ancient Godly Monarch,Martial Arts,167,66,117,126,332,3.5
Ancient Godly Monarch,Fantasy,167,66,117,126,332,3.5
The Adventures of My All-Rounder Wife,School Life,1,1,0,1,5,4
The Adventures of My All-Rounder Wife,Psychological,1,1,0,1,5,4
The Adventures of My All-Rounder Wife,Mystery,1,1,0,1,5,4
The Adventures of My All-Rounder Wife,Drama,1,1,0,1,5,4
The Adventures of My All-Rounder Wife,Action,1,1,0,1,5,4
The Adventures of My All-Rounder Wife,Josei,1,1,0,1,5,4
The Adventures of My All-Rounder Wife,Romance,1,1,0,1,5,4
In The Name Of Fang,School Life,0,3,3,5,12,4.1
In The Name Of Fang,Drama,0,3,3,5,12,4.1
In The Name Of Fang,Supernatural,0,3,3,5,12,4.1
In The Name Of Fang,Yaoi,0,3,3,5,12,4.1
In The Name Of Fang,Comedy,0,3,3,5,12,4.1
In The Name Of Fang,Romance,0,3,3,5,12,4.1
Crystal,Mystery,2,0,1,0,3,3.3
Crystal,Psychological,2,0,1,0,3,3.3
Crystal,Tragedy,2,0,1,0,3,3.3
I’m Acting Gay on a Dating Show,Shounen Ai,2,2,3,2,13,4
I’m Acting Gay on a Dating Show,Comedy,2,2,3,2,13,4
I’m Acting Gay on a Dating Show,Romance,2,2,3,2,13,4
Married to the Male Lead’s Brother,Adult,12,8,24,31,98,4.1
Married to the Male Lead’s Brother,Drama,12,8,24,31,98,4.1
Married to the Male Lead’s Brother,Fantasy,12,8,24,31,98,4.1
Married to the Male Lead’s Brother,Romance,12,8,24,31,98,4.1
Interstellar Pharmacist,Comedy,0,0,4,1,10,4.4
Interstellar Pharmacist,Drama,0,0,4,1,10,4.4
Interstellar Pharmacist,Fantasy,0,0,4,1,10,4.4
Interstellar Pharmacist,Romance,0,0,4,1,10,4.4
Interstellar Pharmacist,Sci-fi,0,0,4,1,10,4.4
Interstellar Pharmacist,Supernatural,0,0,4,1,10,4.4
Thriller Trainee,Action,5,6,10,28,238,4.7
Thriller Trainee,Fantasy,5,6,10,28,238,4.7
Thriller Trainee,Horror,5,6,10,28,238,4.7
Thriller Trainee,Supernatural,5,6,10,28,238,4.7
Thriller Trainee,Yaoi,5,6,10,28,238,4.7
Mistakenly Saving the Villain,Mature,15,16,31,67,552,4.7
Mistakenly Saving the Villain,Psychological,15,16,31,67,552,4.7
